"个",false,8.49199253138977e-08
"的这",false,1.36191919963835e-08
"个的 S",false,6.0441598392913e-09
"个的 S的",false,3.62268481879369e-09
"儿的 S的个",false,3.29174199009685e-09
"我个 S个 S个",false,2.78892153815491e-09
"我个 S个 S的是",false,2.68314392926072e-09
"我个 S个 S个 S你",false,2.39788544575958e-09
"我个 S个 S个的 S的",false,2.51520648753001e-09
"我个 S个 S个的 S的不",false,7.37903693703856e-09
"我个 S个 S个了的个的我",false,1.9229048575653e-08
"我个 S个 S个的 S的对那是",false,4.32642046632736e-08
"我个 S个 S个的 S的对那是我",false,9.06320991589382e-08
"我个 S个 S个的 S的对那是的对",false,1.56761245762027e-07
"我个 S个 S个的 S的对那是的对那",false,2.65500716523093e-07
"我个 S个 S个的 S的对那是的对对你",false,4.29925194112002e-07
"我个 S个 S个的 S的对那是的对那的是",false,6.32903834230092e-07
"我个 S个 S个的 S的对那是的对那的是那",false,9.31965416839375e-07
"我个 S个 S个的 S的对那是的对对对是那的",false,1.30347962112864e-06
"我个 S个 S个的 S的对那是的对对对是那的是",false,1.73467674358108e-06
"我个 S个 S个的 S的对那是的对对对是那的是这",false,2.23646861741145e-06
"我个 S个 S个了 S的对那是的对对对是那的是那的",false,2.85628061647003e-06
