"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,1
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,2
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,3
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,4
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,5
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,6
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,7
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,8
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,9
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,10
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,11
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,12
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,13
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,14
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,15
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,16
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,17
"it was the first great sorrow of his life it was not so much the loss of the cotton itself but the fantasy the hopes the dreams built around it",50,512,10.24,18
